,Plant_no,Tray,Variety,Harvest date,Number of leaves,Leaf area on harvest,Fresh weight on harvest,Dried weight (7 days later),harvest_date,im_names_on_270922,im_names_on_041022,im_names_on_111022,im_names_on_181022,im_names_on_251022,im_names_on_011122,im_names_on_081122,harvest_img
100,101,7,voyager,18/10/2022,10.0,25.28,0.4381,0.0417,2022-10-18,,,IMG_8179.JPG,IMG_8244.JPG,,,,IMG_8244.JPG
101,102,7,voyager,01/11/2022,53.0,381.28,5.9997,0.4921,2022-11-01,,,IMG_8180.JPG,IMG_8245.JPG,IMG_8287.JPG,IMG_8308.JPG,,IMG_8308.JPG
102,103,7,voyager,11/10/2022,7.0,16.09,0.281,0.032,2022-10-11,,,IMG_8181.JPG,,,,,IMG_8181.JPG
103,104,7,voyager,25/10/2022,27.0,153.98,2.4373,0.196,2022-10-25,,,IMG_8182.JPG,IMG_8246.JPG,IMG_8288.JPG,,,IMG_8288.JPG
104,105,7,voyager,08/11/2022,73.0,511.22,8.1624,0.6279,2022-11-08,,,IMG_8183.JPG,IMG_8247.JPG,IMG_8289.JPG,IMG_8309.JPG,IMG_8320.JPG,IMG_8320.JPG
105,106,8,voyager,01/11/2022,27.0,134.72,2.0154,0.168,2022-11-01,,,IMG_8184.JPG,IMG_8248.JPG,IMG_8290.JPG,IMG_8310.JPG,,IMG_8310.JPG
106,107,8,voyager,11/10/2022,1.0,4.51,0.1191,0.0172,2022-10-11,,,IMG_8185.JPG,,,,,IMG_8185.JPG
107,108,8,voyager,18/10/2022,9.0,24.19,0.4249,0.0412,2022-10-18,,,IMG_8186.JPG,IMG_8249.JPG,,,,IMG_8249.JPG
108,109,8,voyager,08/11/2022,44.0,349.95,5.6655,0.3858,2022-11-08,,,IMG_8187.JPG,IMG_8250.JPG,IMG_8291.JPG,IMG_8311.JPG,IMG_8321.JPG,IMG_8321.JPG
109,110,8,missing,01/09/2022,,,,,2022-09-01,,,,,,,,
